How to Prepare Your Space for Zero Waste by Decluttering|http://ZeroWasteMemoirs.com/wp-content/uploads/2017/01/mfj9g64-wxq-kari-shea-1024x683.jpg|1|http://ZeroWasteMemoirs.com/baby-step-1-decluttering/|Zero Waste Memoirs|prepare your space zero waste decluttering|
Welcome to the 30-Day Zero Waste Baby Steps Challenge!|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/09/Baby-Steps-Challenge-White-Badge.jpg|1|http://ZeroWasteMemoirs.com/baby-steps-challenge-2017/|Zero Waste Memoirs|welcome 30day zero waste baby steps challenge|
Value-Based Goal Planning for 2017|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/12/photo-1473181488821-2d23949a045a-1024x683.jpg|30|http://ZeroWasteMemoirs.com/value-based-goal-planning-for-2017/|Zero Waste Memoirs|valuebased goal planning|
Can You Shop Online and Be Zero Waste?|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/12/mgafenpdcsw-bench-accounting-1024x684.jpg|20|http://ZeroWasteMemoirs.com/can-shop-online-zero-waste/|Zero Waste Memoirs|can you shop online be zero waste|
How to Travel Elegantly (Zero Waste Style)|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/12/mixed-stripe-wool-cardigan-anthropologie.jpeg|17|http://ZeroWasteMemoirs.com/travel-elegantly-zero-waste-style/|Zero Waste Memoirs|travel elegantly zero waste style|
Music Mondays: Cozy Christmas|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/12/Music-Mondays-Cozy-Christmas.png|12|http://ZeroWasteMemoirs.com/cozy-christmas-playlist/|Zero Waste Memoirs|music mondays cozy christmas|
Your 2016 Ethical Gift Guide|NULL - image|11|http://ZeroWasteMemoirs.com/2016-ethical-gift-guide/|Zero Waste Memoirs|your ethical gift guide|
How to Start the Holidays with a Zero Waste Mindset|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/12/How-to-Start-the-Holidays-with-a-Zero-Waste-Mindset-1.png|10|http://ZeroWasteMemoirs.com/start-the-holidays-with-zero-waste-mindset/|Zero Waste Memoirs|start holidays zero waste mindset|
How to Start a Paperless Kitchen|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/12/PINTEREST-How-to-Start-a-Paperless-Kitchen-683x1024.png|7|http://ZeroWasteMemoirs.com/start-paperless-kitchen/|Zero Waste Memoirs|start paperless kitchen|
Homemade Chicken Stock Recipe|http://ZeroWasteMemoirs.com/wp-content/uploads/2017/03/Vertical-Blog-Post-Image-680x920px-1.png|1|http://ZeroWasteMemoirs.com/homemade-chicken-stock-recipe/|Zero Waste Memoirs|homemade chicken stock recipe|
10 Ways to Extend Gratitude Into Your Everyday|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/11/10-Ways-to-Extend-Gratitude-Into-Your-Everday-The-Zero-Waste-Memoirs-683x1024.png|24|http://ZeroWasteMemoirs.com/10-ways-extend-gratitude-everyday/|Zero Waste Memoirs|ways extend gratitude your everyday|
Thanksgiving Decor Inspiration for the Eco-Friendly Host|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/10/LOVE-LAUGHTER-Lauren-2.png|22|http://ZeroWasteMemoirs.com/thanksgiving-decor-inspiration-eco-friendly-host/|Zero Waste Memoirs|thanksgiving decor inspiration ecofriendly host|
How to Host a Zero Waste Thanksgiving & Cultivate Gratitude|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/11/photo-1471193945509-9ad0617afabf-1024x683.jpeg|20|http://ZeroWasteMemoirs.com/host-zero-waste-thanksgiving/|Zero Waste Memoirs|host zero waste thanksgiving  cultivate gratitude|
Music Mondays: November|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/10/LOVE-LAUGHTER-Lauren-2.png|7|http://ZeroWasteMemoirs.com/music-mondays-november/|Zero Waste Memoirs|music mondays november|
A Little Update: How Is It All Going?|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/11/photo-1453904300235-0f2f60b15b5d-681x1024.jpg|5|http://ZeroWasteMemoirs.com/little-update-going/|Zero Waste Memoirs|little update is it all going|
Music Mondays: October|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/10/LOVE-LAUGHTER-Lauren.png|24|http://ZeroWasteMemoirs.com/music-mondays-october/|Zero Waste Memoirs|music mondays october|
DIY Zero Waste Beetroot Lip & Cheek Stain|NULL - image|23|http://ZeroWasteMemoirs.com/diy-zero-waste-beetroot-lip-stain/|Zero Waste Memoirs|diy zero waste beetroot lip  cheek stain|
DIY Zero Waste Powder Foundation|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/10/IMG_1467-1024x768.jpg|23|http://ZeroWasteMemoirs.com/diy-zero-waste-powder-foundation/|Zero Waste Memoirs|diy zero waste powder foundation|
Zero Waste Makeup: I’m Done With Chemicals!|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/10/photo-1465426721606-27b1239015fd-1024x683.jpeg|23|http://ZeroWasteMemoirs.com/zero-waste-makeup-im-done-with-chemicals/|Zero Waste Memoirs|zero waste makeup im done chemicals|
Reusable Rice Heating Pad Tutorial|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/10/IMG_1340-1024x768.jpg|20|http://ZeroWasteMemoirs.com/diy-reusable-rice-heating-pad-tutorial/|Zero Waste Memoirs|reusable rice heating pad tutorial|
How to Shop From Bulk Bins|http://ZeroWasteMemoirs.com/wp-content/uploads/2016/10/Large-Landscape-Blog-Photo-1.png|20|http://ZeroWasteMemoirs.com/zero-waste-bulk-shopping/|Zero Waste Memoirs|shop bulk bins|
Zero Waste 101: Refuse|NULL - image|25|http://ZeroWasteMemoirs.com/zero-waste-101-refuse/|Zero Waste Memoirs|zero waste refuse|
NULL - title|NULL - image|$ 1.50|https://www.zeromarketplace.com/products/33ambereurodroppervial|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 2.25|https://www.zeromarketplace.com/products/5ozamberdroppervial|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 2.50|https://www.zeromarketplace.com/products/1ozamberbottle|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 3.00|https://www.zeromarketplace.com/products/17ozamberapothecarybottlewithcork|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 16.00|https://www.zeromarketplace.com/products/10cmairtightstainlesssteelcontainer|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 12.00|https://www.zeromarketplace.com/products/10ozdoublewalltumbler-lifewithoutplastic|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 18.00|https://www.zeromarketplace.com/products/12cmairtightstainlesssteelcontainer|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 20.00|https://www.zeromarketplace.com/products/14cmairtightstainlesssteelcontainer|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 4.00|https://www.zeromarketplace.com/products/16ozpumpbottles|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 22.00|https://www.zeromarketplace.com/products/16cmairtightstainlesssteelcontainer|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 5.00|https://www.zeromarketplace.com/products/16ozmasonjarmug|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 13.50|https://www.zeromarketplace.com/products/2-layer-stainless-steel-lunch-box|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 2.75|https://www.zeromarketplace.com/products/2ozamberbottle|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 3.50|https://www.zeromarketplace.com/products/2ozdiamondglassbottle|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 20.00|https://www.zeromarketplace.com/products/2tiertiffin|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 4.50|https://www.zeromarketplace.com/products/35ozamberapothecarybottlewithcork|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 3.00|https://www.zeromarketplace.com/products/4ozcobaltspraybottle|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 2.25|https://www.zeromarketplace.com/products/4ozamberglassjar|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 7.00|https://www.zeromarketplace.com/products/8ozamberbottlecork|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 12.00|https://www.zeromarketplace.com/products/8ozdoublewalledstainlessmug|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 14.00|https://www.zeromarketplace.com/products/8cmairtightstainlesssteelcontainer|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 3.50|https://www.zeromarketplace.com/products/8ozamberpumpbottle|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 8.00|https://www.zeromarketplace.com/products/9ozstainlesssteeltumbler|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 8.00|https://www.zeromarketplace.com/products/adjustablejucosandwichbag|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 25.00|https://www.zeromarketplace.com/products/amberessentialoil-bulkperoz|Zero Waste Memoirs|null  keywords|
