Bambu Condiment Cup|$ 3.00|//cdn.shopify.com/s/assets/no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_large.gif|https://www.zeromarketplace.com/products/bambucondimentcup|Zero Waste Marketplace|bambu condiment cup|
Bambu Kid's Double Ended Utensil|$ 5.00|//cdn.shopify.com/s/assets/no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_large.gif|https://www.zeromarketplace.com/products/bambukidsdoubleendedutensil|Zero Waste Marketplace|bambu kids double ended utensil|
Bambu Pot Scraper|$ 4.00|//cdn.shopify.com/s/assets/no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_large.gif|https://www.zeromarketplace.com/products/bambupotscraper|Zero Waste Marketplace|bambu pot scraper|
Bambu Spork|$ 4.00|//cdn.shopify.com/s/assets/no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_large.gif|https://www.zeromarketplace.com/products/bambuspork|Zero Waste Marketplace|bambu spork|
Bath Oil with Jar|$ 8.00|//cdn.shopify.com/s/assets/no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_large.gif|https://www.zeromarketplace.com/products/coldandflubathoil|Zero Waste Marketplace|bath oil jar|
Beard Oil 1oz Dropper Bottle|$ 7.00|//cdn.shopify.com/s/files/1/0809/7591/products/20170823_094810_large.jpg?v=1506892707|https://www.zeromarketplace.com/products/bearddropper|Zero Waste Marketplace|beard oil 1oz dropper bottle|
Beard Oil Flask|$ 10.00|//cdn.shopify.com/s/files/1/0809/7591/products/Screen_Shot_2017-11-21_at_1.33.49_PM_large.png?v=1511297674|https://www.zeromarketplace.com/products/beardoilflask|Zero Waste Marketplace|beard oil flask|
Bentonite Clay BULK/oz|$ 4.50|//cdn.shopify.com/s/files/1/0809/7591/products/IMG_1855_large.JPG?v=1438395079|https://www.zeromarketplace.com/products/bentoniteclay|Zero Waste Marketplace|bentonite clay bulkoz|
Bikenomics: How Bicycling Can Save The Economy|$ 14.95|//cdn.shopify.com/s/files/1/0809/7591/products/IMG_2970_large.JPG?v=1447209324|https://www.zeromarketplace.com/products/bikenomics|Zero Waste Marketplace|bikenomics bicycling can save economy|
Black tin|$ 3.00|//cdn.shopify.com/s/assets/no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_large.gif|https://www.zeromarketplace.com/products/blacktin|Zero Waste Marketplace|black tin|
