Fixing Old Fruit: Fruit Crisp|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF1978.jpg?resize=1380%2C910|September 9, 2016|http://www.snapshotsofsimplicity.com/2016/09/09/fixing-old-fruit-fruit-crisp/|Snapshots of Simplicity|fixing old fruit fruit crisp|
Salvaging Stale Bread: Simple Croutons|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF2032-1.jpg?resize=1380%2C910|September 8, 2016|http://www.snapshotsofsimplicity.com/2016/09/08/salvaging-stale-bread-simple-croutons/|Snapshots of Simplicity|salvaging stale bread simple croutons|
Packing to Prevent Food Waste|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF2104.jpg?resize=1380%2C910|September 7, 2016|http://www.snapshotsofsimplicity.com/2016/09/07/packing-to-prevent-food-waste/|Snapshots of Simplicity|packing prevent food waste|
How to Plan for No Food Waste|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF2102.jpg?resize=1380%2C910|September 6, 2016|http://www.snapshotsofsimplicity.com/2016/09/06/how-to-plan-for-no-food-waste/|Snapshots of Simplicity|how plan food waste|
Reflections On Living One Year Zero Waste|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF2052.jpg?resize=1380%2C910|September 2, 2016|http://www.snapshotsofsimplicity.com/2016/09/02/reflections-on-living-one-year-zero-waste/|Snapshots of Simplicity|reflections living one year zero waste|
Searching for a Sustainable Yoga Mat|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/08/DSF1938.jpg?resize=1380%2C910|August 26, 2016|http://www.snapshotsofsimplicity.com/2016/08/26/searching-for-a-sustainable-yoga-mat/|Snapshots of Simplicity|searching sustainable yoga mat|
Better Bags from the Basic Bottle|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/08/Hamilton-Perkins-Cover.jpg?resize=1280%2C854|August 19, 2016|http://www.snapshotsofsimplicity.com/2016/08/19/better-bags-from-the-basic-bottle/|Snapshots of Simplicity|better bags basic bottle|
Tips for Flying with Less Waste|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/08/DSF1834.jpg?resize=1380%2C910|August 12, 2016|http://www.snapshotsofsimplicity.com/2016/08/12/tips-for-flying-with-less-waste/|Snapshots of Simplicity|tips flying less waste|
Ten Simple Pleasures from Germany|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/08/DSF1597.jpg?resize=1380%2C910|August 3, 2016|http://www.snapshotsofsimplicity.com/2016/08/03/ten-simple-pleasures-from-germany/|Snapshots of Simplicity|ten simple pleasures germany|
Hello to Myself|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/07/DSF1653.jpg?resize=1380%2C910|July 20, 2016|http://www.snapshotsofsimplicity.com/2016/07/20/hello-to-myself/|Snapshots of Simplicity|hello myself|
What’s in my Grocery Bag|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/07/DSF1314.jpg?resize=1380%2C910|July 10, 2016|http://www.snapshotsofsimplicity.com/2016/07/10/whats-in-my-grocery-bag/|Snapshots of Simplicity|whats grocery bag|
To the Ocean: Montana de Oro|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/07/DSF1195.jpg?resize=1380%2C910|July 4, 2016|http://www.snapshotsofsimplicity.com/2016/07/04/to-the-ocean-montana-de-oro/|Snapshots of Simplicity|to ocean montana de oro|
Zero Waste Tooth Powder & Mouthwash|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/06/DSF1112.jpg?resize=1380%2C910|June 24, 2016|http://www.snapshotsofsimplicity.com/2016/06/24/zero-waste-tooth-powder-mouthwash/|Snapshots of Simplicity|zero waste tooth powder  mouthwash|
Fixing My Leather Boots|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/06/Shoes.jpg?resize=1380%2C910|June 1, 2016|http://www.snapshotsofsimplicity.com/2016/06/01/fixing-my-leather-boots/|Snapshots of Simplicity|fixing leather boots|
Hanging Out in the City|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/05/DSF0473.jpg?resize=1380%2C910|May 25, 2016|http://www.snapshotsofsimplicity.com/2016/05/25/hanging-out-in-the-city/|Snapshots of Simplicity|hanging out city|
A New Chapter|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/05/DSF0419.jpg?resize=1380%2C910|May 13, 2016|http://www.snapshotsofsimplicity.com/2016/05/13/a-new-chapter/|Snapshots of Simplicity|a new chapter|
How to Make a Terrarium|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/04/DSF0645.jpg?resize=1380%2C910|April 22, 2016|http://www.snapshotsofsimplicity.com/2016/04/22/how-to-make-a-terrarium/|Snapshots of Simplicity|how make terrarium|
Being a Tourist in San Francisco|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/04/DSF0451.jpg?resize=1380%2C910|April 4, 2016|http://www.snapshotsofsimplicity.com/2016/04/04/being-a-tourist-in-san-francisco/|Snapshots of Simplicity|being tourist san francisco|
Why the Packaging Girl went Packageless|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/03/DSF0570.jpg?resize=1380%2C910|March 27, 2016|http://www.snapshotsofsimplicity.com/2016/03/27/why-the-packaging-girl-went-packageless/|Snapshots of Simplicity|why packaging girl went packageless|
Changing the Way We Waste|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/01/DSF0600.jpg?resize=1380%2C910|January 26, 2016|http://www.snapshotsofsimplicity.com/2016/01/26/changing-the-way-we-waste/|Snapshots of Simplicity|changing way we waste|
