Whats in my Grocery Bag	https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/07/DSF1314.jpg?resize=1380%2C910	10-Jul-16	http://www.snapshotsofsimplicity.com/2016/07/10/whats-in-my-grocery-bag/	Literless	Whats Grocery Bag
To the Ocean: Montana de Oro	https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/07/DSF1195.jpg?resize=1380%2C910	4-Jul-16	http://www.snapshotsofsimplicity.com/2016/07/04/to-the-ocean-montana-de-oro/	Literless	Ocean Montana de Oro
Zero Waste Tooth Powder & Mouthwash	https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/06/DSF1112.jpg?resize=1380%2C910	24-Jun-16	http://www.snapshotsofsimplicity.com/2016/06/24/zero-waste-tooth-powder-mouthwash/	Literless	Zero Waste Tooth Powder  Mouthwash
Fixing My Leather Boots	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/06/Shoes.jpg?resize=1380%2C910	1-Jun-16	http://www.snapshotsofsimplicity.com/2016/06/01/fixing-my-leather-boots/	Literless	Fixing Leather Boots
Hanging Out in the City	https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/05/DSF0473.jpg?resize=1380%2C910	25-May-16	http://www.snapshotsofsimplicity.com/2016/05/25/hanging-out-in-the-city/	Literless	Hanging Out City
A New Chapter	https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/05/DSF0419.jpg?resize=1380%2C910	13-May-16	http://www.snapshotsofsimplicity.com/2016/05/13/a-new-chapter/	Literless	New Chapter
How to Make a Terrarium	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/04/DSF0645.jpg?resize=1380%2C910	22-Apr-16	http://www.snapshotsofsimplicity.com/2016/04/22/how-to-make-a-terrarium/	Literless	Make Terrarium
Being a Tourist in San Francisco	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/04/DSF0451.jpg?resize=1380%2C910	4-Apr-16	http://www.snapshotsofsimplicity.com/2016/04/04/being-a-tourist-in-san-francisco/	Literless	Being Tourist San Francisco
Why the Packaging Girl went Packageless	https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/03/DSF0570.jpg?resize=1380%2C910	27-Mar-16	http://www.snapshotsofsimplicity.com/2016/03/27/why-the-packaging-girl-went-packageless/	Literless	Why Packaging Girl went Packageless
Changing the Way We Waste	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/01/DSF0600.jpg?resize=1380%2C910	26-Jan-16	http://www.snapshotsofsimplicity.com/2016/01/26/changing-the-way-we-waste/	Literless	Changing Way We Waste
Ready to Change the World?	https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/01/DSF0754.jpg?resize=1380%2C910	21-Jan-16	http://www.snapshotsofsimplicity.com/2016/01/21/ready-to-change-the-world/	Literless	Ready Change World
Oceans: A Reflection of 2015	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/01/DSF9590.jpg?resize=1380%2C910	5-Jan-16	http://www.snapshotsofsimplicity.com/2016/01/05/oceans-a-reflection-of-2015/	Literless	Oceans Reflection
packageless speaks at the Portland Green Festival	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2015/12/121515.jpg?resize=1380%2C910	17-Dec-15	http://www.snapshotsofsimplicity.com/2015/12/17/packageless-speaks-at-the-portland-green-festival/	Literless	packageless speaks Portland Green Festival
"How to Shop Online, packageless"	https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2015/12/DSF0725.jpg?resize=1380%2C910	8-Dec-15	http://www.snapshotsofsimplicity.com/2015/12/08/how-to-shop-online-packageless/	Literless	Shop Online packageless
Apfelkuchen	https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2015/11/112315-Cover-1.jpg?resize=1380%2C910	24-Nov-15	http://www.snapshotsofsimplicity.com/2015/11/24/apfelkuchen/	Literless	Apfelkuchen
A Tale of Two Boxes	https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2015/11/DSF0591.jpg?resize=1380%2C910	12-Nov-15	http://www.snapshotsofsimplicity.com/2015/11/12/a-tale-of-two-boxes/	Literless	Tale Two Boxes
Chocolate Banana Cake	https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2015/11/DSF0539.jpg?resize=1380%2C910	9-Nov-15	http://www.snapshotsofsimplicity.com/2015/11/09/chocolate-banana-cake/	Literless	Chocolate Banana Cake
"Keep your friends close, but your farmers closer."	https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2015/11/DSF0690.jpg?resize=1380%2C910	5-Nov-15	http://www.snapshotsofsimplicity.com/2015/11/05/keep-your-friends-close-but-your-farmers-closer/	Literless	Keep your friends close your farmers closer.
Roasted Vegetable Tian	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2015/11/DSF0729.jpg?resize=1380%2C910	3-Nov-15	http://www.snapshotsofsimplicity.com/2015/11/03/roasted-vegetable-tian/	Literless	Roasted Vegetable Tian
Escape to the Waters	https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2015/11/103115-Waters.jpg?resize=1380%2C910	1-Nov-15	http://www.snapshotsofsimplicity.com/2015/11/01/escape-to-the-waters/	Literless	Escape Waters
